"Step","fancy-sweep-5 - ENV_Test_accuracy","fancy-sweep-5 - ENV_Test_accuracy__MIN","fancy-sweep-5 - ENV_Test_accuracy__MAX","robust-sweep-6 - ENV_Test_accuracy","robust-sweep-6 - ENV_Test_accuracy__MIN","robust-sweep-6 - ENV_Test_accuracy__MAX","prime-sweep-4 - ENV_Test_accuracy","prime-sweep-4 - ENV_Test_accuracy__MIN","prime-sweep-4 - ENV_Test_accuracy__MAX","rose-sweep-1 - ENV_Test_accuracy","rose-sweep-1 - ENV_Test_accuracy__MIN","rose-sweep-1 - ENV_Test_accuracy__MAX","sleek-sweep-2 - ENV_Test_accuracy","sleek-sweep-2 - ENV_Test_accuracy__MIN","sleek-sweep-2 - ENV_Test_accuracy__MAX","breezy-sweep-3 - ENV_Test_accuracy","breezy-sweep-3 - ENV_Test_accuracy__MIN","breezy-sweep-3 - ENV_Test_accuracy__MAX"
"63","0.780032","0.780032","0.780032","0.782208","0.782208","0.782208","0.779328","0.779328","0.779328","0.774784","0.774784","0.774784","0.778048","0.778048","0.778048","0.771712","0.771712","0.771712"
"64","0.780032","0.780032","0.780032","0.782208","0.782208","0.782208","0.779328","0.779328","0.779328","0.774784","0.774784","0.774784","0.778048","0.778048","0.778048","0.771712","0.771712","0.771712"
"65","0.779712","0.779712","0.779712","0.783488","0.783488","0.783488","0.779776","0.779776","0.779776","0.775872","0.775872","0.775872","0.77696","0.77696","0.77696","0.769728","0.769728","0.769728"
"66","0.779712","0.779712","0.779712","0.783488","0.783488","0.783488","0.779776","0.779776","0.779776","0.775872","0.775872","0.775872","0.77696","0.77696","0.77696","0.769728","0.769728","0.769728"
"67","0.779712","0.779712","0.779712","0.783488","0.783488","0.783488","0.779776","0.779776","0.779776","0.775872","0.775872","0.775872","0.77696","0.77696","0.77696","0.769728","0.769728","0.769728"
"68","0.779392","0.779392","0.779392","0.784384","0.784384","0.784384","0.776832","0.776832","0.776832","0.777344","0.777344","0.777344","0.778048","0.778048","0.778048","0.774272","0.774272","0.774272"
"69","0.779392","0.779392","0.779392","0.784384","0.784384","0.784384","0.776832","0.776832","0.776832","0.777344","0.777344","0.777344","0.778048","0.778048","0.778048","0.774272","0.774272","0.774272"
"70","0.779392","0.779392","0.779392","0.784384","0.784384","0.784384","0.776832","0.776832","0.776832","0.777344","0.777344","0.777344","0.778048","0.778048","0.778048","0.774272","0.774272","0.774272"
"71","0.780736","0.780736","0.780736","0.782464","0.782464","0.782464","0.779904","0.779904","0.779904","0.77472","0.77472","0.77472","0.777024","0.777024","0.777024","0.76992","0.76992","0.76992"
"72","0.780736","0.780736","0.780736","0.782464","0.782464","0.782464","0.779904","0.779904","0.779904","0.77472","0.77472","0.77472","0.777024","0.777024","0.777024","0.76992","0.76992","0.76992"
"73","0.780736","0.780736","0.780736","0.782464","0.782464","0.782464","0.779904","0.779904","0.779904","0.77472","0.77472","0.77472","0.777024","0.777024","0.777024","0.76992","0.76992","0.76992"
"74","0.780224","0.780224","0.780224","0.782208","0.782208","0.782208","0.777408","0.777408","0.777408","0.776","0.776","0.776","0.779968","0.779968","0.779968","0.771904","0.771904","0.771904"
